annot_exists,annot_path,ct:cell,dataset,image_name,image_path,pct:cell_to_cellclump,exclusion,group
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zm9-0260-0346-00.xml,2.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zm9-0260-0346-00.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zm9-0260-0346-00.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zp3-0260-0347-02.xml,2.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zp3-0260-0347-02.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zp3-0260-0347-02.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zp6-0260-0347-02.xml,2.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zp6-0260-0347-02.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zp6-0260-0347-02.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zp9-0260-0347-03.xml,2.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zp9-0260-0347-03.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zp9-0260-0347-03.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-z_0-0269-0349-12.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-z_0-0269-0349-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-z_0-0269-0349-12.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zm3-0270-0349-12.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zm3-0270-0349-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zm3-0270-0349-12.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zm6-0270-0349-12.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zm6-0270-0349-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zm6-0270-0349-12.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zm9-0270-0350-12.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zm9-0270-0350-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zm9-0270-0350-12.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zp3-0270-0349-12.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zp3-0270-0349-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zp3-0270-0349-12.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zp6-0269-0349-12.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zp6-0269-0349-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zp6-0269-0349-12.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zp9-0269-0349-09.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zp9-0269-0349-09.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011129-zp9-0269-0349-09.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-z_0-0260-0354-01.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-z_0-0260-0354-01.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-z_0-0260-0354-01.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zm3-0260-0354-00.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zm3-0260-0354-00.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zm3-0260-0354-00.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zm6-0260-0355-00.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zm6-0260-0355-00.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zm6-0260-0355-00.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zm9-0261-0355-00.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zm9-0261-0355-00.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zm9-0261-0355-00.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zp3-0260-0354-02.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zp3-0260-0354-02.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zp3-0260-0354-02.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zp6-0260-0355-02.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zp6-0260-0355-02.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zp6-0260-0355-02.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zp9-0260-0354-00.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zp9-0260-0354-00.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806011710-zp9-0260-0354-00.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-z_0-0264-0338-11.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-z_0-0264-0338-11.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-z_0-0264-0338-11.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zm3-0264-0338-11.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zm3-0264-0338-11.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zm3-0264-0338-11.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zm6-0264-0338-06.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zm6-0264-0338-06.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zm6-0264-0338-06.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zm9-0264-0338-12.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zm9-0264-0338-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zm9-0264-0338-12.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zp3-0264-0338-11.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zp3-0264-0338-11.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zp3-0264-0338-11.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zp6-0265-0338-10.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zp6-0265-0338-10.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zp6-0265-0338-10.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zp9-0265-0337-10.xml,5.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zp9-0265-0337-10.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806020005-zp9-0265-0337-10.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-z_0-0263-0344-09.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-z_0-0263-0344-09.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-z_0-0263-0344-09.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zm3-0263-0344-09.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zm3-0263-0344-09.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zm3-0263-0344-09.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zm6-0264-0344-10.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zm6-0264-0344-10.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zm6-0264-0344-10.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zm9-0262-0344-11.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zm9-0262-0344-11.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zm9-0262-0344-11.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zp3-0263-0343-08.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zp3-0263-0343-08.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zp3-0263-0343-08.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zp6-0263-0343-07.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zp6-0263-0343-07.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zp6-0263-0343-07.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zp9-0264-0343-09.xml,6.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zp9-0264-0343-09.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201806021115-zp9-0264-0343-09.jpeg,,,training
False,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-z_0-0268-0592-08.xml,,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-z_0-0268-0592-08.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-z_0-0268-0592-08.jpeg,,No Annotations,external
False,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zm3-0268-0592-07.xml,,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zm3-0268-0592-07.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zm3-0268-0592-07.jpeg,,No Annotations,external
False,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zm6-0268-0592-08.xml,,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zm6-0268-0592-08.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zm6-0268-0592-08.jpeg,,No Annotations,external
False,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zm9-0268-0592-04.xml,,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zm9-0268-0592-04.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zm9-0268-0592-04.jpeg,,No Annotations,external
False,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zp3-0268-0592-07.xml,,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zp3-0268-0592-07.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zp3-0268-0592-07.jpeg,,No Annotations,external
False,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zp6-0267-0592-07.xml,,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zp6-0267-0592-07.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zp6-0267-0592-07.jpeg,,No Annotations,external
False,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zp9-0267-0592-08.xml,,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zp9-0267-0592-08.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201805311723-zp9-0267-0592-08.jpeg,,No Annotations,external
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-z_0-0265-0592-12.xml,3.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-z_0-0265-0592-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-z_0-0265-0592-12.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zm3-0266-0592-07.xml,3.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zm3-0266-0592-07.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zm3-0266-0592-07.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zm6-0266-0592-09.xml,3.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zm6-0266-0592-09.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zm6-0266-0592-09.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zm9-0266-0592-08.xml,3.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zm9-0266-0592-08.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zm9-0266-0592-08.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zp3-0266-0592-10.xml,3.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zp3-0266-0592-10.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zp3-0266-0592-10.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zp6-0266-0591-12.xml,3.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zp6-0266-0591-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zp6-0266-0591-12.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zp9-0265-0592-12.xml,3.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zp9-0265-0592-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806020005-zp9-0265-0592-12.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-z_0-0263-0597-02.xml,4.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-z_0-0263-0597-02.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-z_0-0263-0597-02.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zm3-0263-0597-04.xml,4.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zm3-0263-0597-04.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zm3-0263-0597-04.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zm6-0263-0597-05.xml,4.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zm6-0263-0597-05.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zm6-0263-0597-05.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zm9-0263-0598-06.xml,4.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zm9-0263-0598-06.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zm9-0263-0598-06.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zp3-0263-0598-05.xml,4.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zp3-0263-0598-05.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zp3-0263-0598-05.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zp6-0263-0598-05.xml,4.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zp6-0263-0598-05.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zp6-0263-0598-05.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zp9-0263-0597-04.xml,4.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zp9-0263-0597-04.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-05-201806021115-zp9-0263-0597-04.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-06-201805312215-z_0-0260-0602-06.xml,3.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-06-201805312215-z_0-0260-0602-06.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-06-201805312215-z_0-0260-0602-06.jpeg,,,training
